indicator_seq,parent_seq,agency_name,indicator_name,description,period_year,period_month,category,frequency,desired_change,indicator_unit,decimal_places,ytd_target,ytd_actual,monthly_target,monthly_actual
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2008,1,Safety Indicators,M,D,-,2,2.37,1.93,2.37,1.93
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2008,2,Safety Indicators,M,D,-,2,2.37,1.99,2.37,2.33
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2008,3,Safety Indicators,M,D,-,2,2.37,1.98,2.37,1.93
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2008,4,Safety Indicators,M,D,-,2,2.37,1.93,2.37,1.81
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2008,5,Safety Indicators,M,D,-,2,2.37,2.14,2.37,2.93
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2008,6,Safety Indicators,M,D,-,2,2.37,2.22,2.37,2.70
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2008,7,Safety Indicators,M,D,-,2,2.37,2.29,2.37,2.79
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2008,8,Safety Indicators,M,D,-,2,2.37,2.33,2.37,2.70
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2008,9,Safety Indicators,M,D,-,2,2.37,2.36,2.37,2.43
100360,0,NYC Transit,Employee Lost Time and Restricted Duty Rate,An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 100 employees.,2008,10,Safety Indicators,M,D,-,2,2.37,2.36,2.37,2.48
